hs_code,hs_desc,CTY_CODE,country,import_value,import_qty,qty_unit,COMM_LVL,time,COMM_LVL.1,I_COMMODITY.1,month,total_import_value,country_share,unit_value_proxy
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,9340,0,-,HS6,2021-01-01,HS6,854231,2021-01-01,1688276929,5.532267745631203e-06,inf
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,12800,0,-,HS6,2021-02-01,HS6,854231,2021-02-01,1694558066,7.553591851953688e-06,inf
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,14473,0,-,HS6,2021-03-01,HS6,854231,2021-03-01,3057776821,4.733177353102841e-06,inf
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-04-01,HS6,854231,2021-04-01,2177628920,0.0,
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-05-01,HS6,854231,2021-05-01,2540123861,0.0,
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-06-01,HS6,854231,2021-06-01,2675161092,0.0,
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-07-01,HS6,854231,2021-07-01,2168023727,0.0,
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-08-01,HS6,854231,2021-08-01,2650960968,0.0,
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-09-01,HS6,854231,2021-09-01,2369967244,0.0,
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-10-01,HS6,854231,2021-10-01,1792343744,0.0,
