month,hs_code,hs_desc,hhi,c3_share,supplier_count,risk_cluster,risk_cluster_label
2021-01-01,853400,PRINTED CIRCUITS,0.193681645895808,0.6897038486553249,49,1,elevated concentration
2021-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4223776285398686,0.8038200082517386,50,3,highest concentration/dominant suppliers
2021-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2495960946463421,0.7481879356314248,25,1,elevated concentration
2021-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1555875629781445,0.5935061393644524,32,2,lower concentration/moderate breadth
2021-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1527652900121691,0.6055907573601697,50,2,lower concentration/moderate breadth
2021-02-01,853400,PRINTED CIRCUITS,0.1853563642676374,0.6667109064287333,57,2,lower concentration/moderate breadth
2021-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3457412019070761,0.7721116344442812,62,3,highest concentration/dominant suppliers
2021-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.225860799512083,0.6971812469570036,28,1,elevated concentration
2021-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1586562978332108,0.58655729859962,34,2,lower concentration/moderate breadth
2021-02-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1335402048002906,0.5379436276453298,59,2,lower concentration/moderate breadth
2021-03-01,853400,PRINTED CIRCUITS,0.1978253115913352,0.6836601560905039,63,0,lower concentration/broad supplier base
2021-03-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.486463514776535,0.8205858042901294,70,3,highest concentration/dominant suppliers
2021-03-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2522379812804703,0.7195854845101675,34,1,elevated concentration
2021-03-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1676558362492379,0.6163863362844411,41,2,lower concentration/moderate breadth
2021-03-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1531685144709458,0.5762791942997918,65,2,lower concentration/moderate breadth
2021-04-01,853400,PRINTED CIRCUITS,0.1972943283218949,0.7006000120520594,68,0,lower concentration/broad supplier base
2021-04-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4317921783371422,0.7842961527164142,76,3,highest concentration/dominant suppliers
2021-04-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3283294681036767,0.7477362980935113,38,1,elevated concentration
2021-04-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1786463943374271,0.577415052669296,41,2,lower concentration/moderate breadth
2021-04-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1378728705640386,0.5368035610432649,69,2,lower concentration/moderate breadth
2021-05-01,853400,PRINTED CIRCUITS,0.2101751370542629,0.7078934815174963,72,0,lower concentration/broad supplier base
2021-05-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4279094546950129,0.7697915751361071,80,3,highest concentration/dominant suppliers
2021-05-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3112799614494798,0.8286132999737068,39,1,elevated concentration
2021-05-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1751256952544681,0.5829237704072118,47,2,lower concentration/moderate breadth
2021-05-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1382310732268959,0.5575833105757341,76,0,lower concentration/broad supplier base
2021-06-01,853400,PRINTED CIRCUITS,0.1944475218180131,0.7241035061537904,78,0,lower concentration/broad supplier base
2021-06-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4587773286985803,0.8095253162421517,83,3,highest concentration/dominant suppliers
2021-06-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.319066048816658,0.8082001056178096,42,1,elevated concentration
2021-06-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1596795516369183,0.6142049195080711,48,2,lower concentration/moderate breadth
2021-06-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1466697210546983,0.5945920756471058,79,0,lower concentration/broad supplier base
2021-07-01,853400,PRINTED CIRCUITS,0.2030721241434384,0.7098602283912668,79,0,lower concentration/broad supplier base
2021-07-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4112441859815079,0.7611623380540613,85,3,highest concentration/dominant suppliers
2021-07-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3105002637634155,0.8071564824924562,45,1,elevated concentration
2021-07-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1394969434763628,0.5247397589913465,51,2,lower concentration/moderate breadth
2021-07-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1412610568294893,0.5600711107965806,82,0,lower concentration/broad supplier base
2021-08-01,853400,PRINTED CIRCUITS,0.2117265790093107,0.7021475870272773,81,0,lower concentration/broad supplier base
2021-08-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4628923117149933,0.7908880112941745,89,3,highest concentration/dominant suppliers
2021-08-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3643266440996034,0.8333245159121501,50,3,highest concentration/dominant suppliers
2021-08-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1389920732317698,0.512721825897007,51,2,lower concentration/moderate breadth
2021-08-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1520340578560327,0.5999780137750109,88,0,lower concentration/broad supplier base
2021-09-01,853400,PRINTED CIRCUITS,0.208305127210698,0.7063701198656948,83,0,lower concentration/broad supplier base
2021-09-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3520597010903072,0.7811867483346533,93,3,highest concentration/dominant suppliers
2021-09-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3964573768832595,0.8424588498734535,51,3,highest concentration/dominant suppliers
2021-09-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1502700254050378,0.5258936874214997,51,2,lower concentration/moderate breadth
2021-09-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1346639308291044,0.5396065813858769,90,0,lower concentration/broad supplier base
2021-10-01,853400,PRINTED CIRCUITS,0.1877609938987986,0.6850607288398981,84,0,lower concentration/broad supplier base
2021-10-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3011477327342889,0.7172131748183231,95,3,highest concentration/dominant suppliers
2021-10-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3535370336906538,0.8357720121455724,52,3,highest concentration/dominant suppliers
2021-10-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1593096728060183,0.5762151681281363,51,2,lower concentration/moderate breadth
2021-10-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1349850405294097,0.5469946751668238,93,0,lower concentration/broad supplier base
2021-11-01,853400,PRINTED CIRCUITS,0.1929538166839687,0.6657828058695224,86,0,lower concentration/broad supplier base
2021-11-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2831128744727572,0.7258751848771182,95,0,lower concentration/broad supplier base
2021-11-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3639122278756381,0.8708025324867595,56,3,highest concentration/dominant suppliers
2021-11-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1870737582180465,0.6157419074170023,53,2,lower concentration/moderate breadth
2021-11-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1431928279220106,0.5552852202967787,96,0,lower concentration/broad supplier base
2021-12-01,853400,PRINTED CIRCUITS,0.201633400335491,0.6912191650776064,88,0,lower concentration/broad supplier base
2021-12-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3482619836135132,0.744078523327294,100,3,highest concentration/dominant suppliers
2021-12-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2649583590098828,0.7732571663343857,56,1,elevated concentration
2021-12-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1928976661962533,0.6080816449838384,54,2,lower concentration/moderate breadth
2021-12-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1563086035354412,0.5770033040269206,98,0,lower concentration/broad supplier base
2022-01-01,853400,PRINTED CIRCUITS,0.2228067806981047,0.7022254369998772,48,1,elevated concentration
2022-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3024421906050574,0.7199997939028565,52,1,elevated concentration
2022-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2697499185151174,0.7738416199172397,37,1,elevated concentration
2022-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1765562447319326,0.6077267161417355,33,2,lower concentration/moderate breadth
2022-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1539318273201891,0.6029589117645041,55,2,lower concentration/moderate breadth
2022-02-01,853400,PRINTED CIRCUITS,0.1894786728570551,0.6561655731685538,56,2,lower concentration/moderate breadth
2022-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.3000107991707179,0.7331990359653764,57,1,elevated concentration
2022-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3054593043990544,0.7745005941724665,40,1,elevated concentration
2022-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1886101131606822,0.5936813179802267,38,2,lower concentration/moderate breadth
2022-02-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1472431225553882,0.5726699773245797,67,2,lower concentration/moderate breadth
2022-03-01,853400,PRINTED CIRCUITS,0.1953904896624262,0.671222513297666,62,0,lower concentration/broad supplier base
2022-03-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.4254329299390439,0.7756094228578266,64,3,highest concentration/dominant suppliers
2022-03-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2464671829961522,0.745641920292486,44,1,elevated concentration
2022-03-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1756949054591386,0.5644034245823494,46,2,lower concentration/moderate breadth
2022-03-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1450118385386558,0.5777920370511611,71,0,lower concentration/broad supplier base
2022-04-01,853400,PRINTED CIRCUITS,0.2060166588391671,0.7028143675908646,66,0,lower concentration/broad supplier base
2022-04-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2103781006693812,0.6187777412847295,71,0,lower concentration/broad supplier base
2022-04-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2931127343879657,0.7608327321582058,46,1,elevated concentration
2022-04-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1652867270236939,0.5996292846038723,48,2,lower concentration/moderate breadth
2022-04-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1590084089462775,0.593737383173862,78,0,lower concentration/broad supplier base
2022-05-01,853400,PRINTED CIRCUITS,0.2043994838499128,0.6809568562424918,70,0,lower concentration/broad supplier base
2022-05-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2599445586366594,0.6867268239187176,76,0,lower concentration/broad supplier base
2022-05-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3351798765075954,0.772263148833484,51,1,elevated concentration
2022-05-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1614321384379433,0.5824025097272818,50,2,lower concentration/moderate breadth
2022-05-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.150178847643484,0.602779822303294,83,0,lower concentration/broad supplier base
2022-06-01,853400,PRINTED CIRCUITS,0.1922760203625442,0.6502228012900673,72,0,lower concentration/broad supplier base
2022-06-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2400005041406406,0.6573526981604415,78,0,lower concentration/broad supplier base
2022-06-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2954563002530164,0.7504671452269593,52,1,elevated concentration
2022-06-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1606368711198628,0.5920678560419372,54,2,lower concentration/moderate breadth
2022-06-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1436231790478004,0.5497172579299882,90,0,lower concentration/broad supplier base
2022-07-01,853400,PRINTED CIRCUITS,0.1990496280503721,0.6813484404692663,75,0,lower concentration/broad supplier base
2022-07-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2249307106606887,0.6508305831407847,83,0,lower concentration/broad supplier base
2022-07-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.3206363000595161,0.7853870329917781,56,1,elevated concentration
2022-07-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1696199501840204,0.6142097362979406,54,2,lower concentration/moderate breadth
2022-07-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1742239854624791,0.5951219647089172,92,0,lower concentration/broad supplier base
2022-08-01,853400,PRINTED CIRCUITS,0.1714337970500068,0.6441782112853326,76,0,lower concentration/broad supplier base
2022-08-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1618869073312329,0.5695354724590557,88,0,lower concentration/broad supplier base
2022-08-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2398187801953646,0.765001778786954,57,1,elevated concentration
2022-08-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1638699604765496,0.5975131135001842,55,2,lower concentration/moderate breadth
