I_COMMODITY,I_COMMODITY_SDESC,CTY_CODE,CTY_NAME,GEN_VAL_MO,GEN_QY1_MO,UNIT_QY1,COMM_LVL,time,COMM_LVL,I_COMMODITY
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,9340,0,-,HS6,2021-01-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,12800,0,-,HS6,2021-02-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,14473,0,-,HS6,2021-03-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-04-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-05-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-06-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-07-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-08-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-09-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-10-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,0,0,-,HS6,2021-11-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,6246,0,-,HS6,2021-12-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,12880,0,-,HS6,2022-02-01,HS6,854231
854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",5200,UNITED ARAB EMIRATES,32200,0,-,HS6,2022-03-01,HS6,854231
