month,hs_code,hs_desc,country,import_value,country_share,country_share_pct
2025-12-01,853400,PRINTED CIRCUITS,CHINA,79322662,0.3469111652292444,34.69111652292444
2025-12-01,853400,PRINTED CIRCUITS,TAIWAN,47392202,0.2072659137258874,20.72659137258874
2025-12-01,853400,PRINTED CIRCUITS,"KOREA, SOUTH",20155913,0.08815023460873357,8.815023460873357
2025-12-01,853400,PRINTED CIRCUITS,THAILAND,14024296,0.06133410987745005,6.1334109877450045
2025-12-01,853400,PRINTED CIRCUITS,JAPAN,11812317,0.051660200896021524,5.166020089602153
2025-12-01,853400,PRINTED CIRCUITS,CANADA,11650519,0.05095259059530114,5.095259059530114
2025-12-01,853400,PRINTED CIRCUITS,VIETNAM,8999139,0.03935699733009385,3.9356997330093852
2025-12-01,853400,PRINTED CIRCUITS,MALAYSIA,4902367,0.021440100539633872,2.1440100539633873
2025-12-01,853400,PRINTED CIRCUITS,MEXICO,4384641,0.019175868283668032,1.9175868283668032
2025-12-01,853400,PRINTED CIRCUITS,SWITZERLAND,3847316,0.01682592140648426,1.682592140648426
2025-12-01,853400,PRINTED CIRCUITS,ISRAEL,3826012,0.016732750107416615,1.6732750107416614
2025-12-01,853400,PRINTED CIRCUITS,UNITED KINGDOM,3640368,0.015920851278834466,1.5920851278834465
2025-12-01,853400,PRINTED CIRCUITS,SINGAPORE,2870158,0.012552400928905257,1.2552400928905256
2025-12-01,853400,PRINTED CIRCUITS,INDIA,2772444,0.012125056753299925,1.2125056753299925
2025-12-01,853400,PRINTED CIRCUITS,TUNISIA,1335582,0.005841058484386274,0.5841058484386273
2025-12-01,853400,PRINTED CIRCUITS,GERMANY,1212998,0.005304947400791252,0.5304947400791251
2025-12-01,853400,PRINTED CIRCUITS,PHILIPPINES,878739,0.0038430930422176327,0.3843093042217633
2025-12-01,853400,PRINTED CIRCUITS,AUSTRIA,858321,0.003753796591580982,0.3753796591580982
2025-12-01,853400,PRINTED CIRCUITS,ITALY,809427,0.0035399626873088503,0.353996268730885
2025-12-01,853400,PRINTED CIRCUITS,HONG KONG,535215,0.002340718965006117,0.2340718965006117
2025-12-01,853400,PRINTED CIRCUITS,ROMANIA,409154,0.0017894015066993877,0.17894015066993876
