country,country_share,adjusted_share
TAIWAN,0.4066011135499839,0.20330055677499195
"KOREA, SOUTH",0.262356330995435,0.262356330995435
JAPAN,0.1671420302830874,0.1671420302830874
CHINA,0.044075971775562,0.044075971775562
VIETNAM,0.0386706098176944,0.0386706098176944
MALAYSIA,0.0293274962173097,0.0293274962173097
FRANCE,0.0151582579321605,0.0151582579321605
SINGAPORE,0.0143522335781012,0.0143522335781012
THAILAND,0.0111943415268616,0.0111943415268616
PHILIPPINES,0.0058170247628288,0.0058170247628288
GERMANY,0.0021857091968467,0.0021857091968467
UNITED KINGDOM,0.001207401233415,0.001207401233415
SPAIN,0.0002709562453464,0.0002709562453464
AUSTRIA,0.0002403177983957,0.0002403177983957
INDONESIA,0.000226574201969,0.000226574201969
COSTA RICA,0.0002228713977686,0.0002228713977686
CANADA,0.000219213749717,0.000219213749717
MEXICO,0.000182005083118,0.000182005083118
BRAZIL,0.0001676357514867,0.0001676357514867
GREECE,0.0001125839552391,0.0001125839552391
SWITZERLAND,8.510643870333254e-05,8.510643870333254e-05
NETHERLANDS,4.077922779224715e-05,4.077922779224715e-05
ITALY,3.267369908530125e-05,3.267369908530125e-05
ISRAEL,2.859351849863727e-05,2.859351849863727e-05
HUNGARY,1.9494554518416655e-05,1.9494554518416655e-05
NEW ZEALAND,1.4424164097676915e-05,1.4424164097676915e-05
CZECH REPUBLIC,1.3611353419543064e-05,1.3611353419543064e-05
NORWAY,1.3098508586910991e-05,1.3098508586910991e-05
MALTA,7.424961035968753e-06,7.424961035968753e-06
ROMANIA,7.215307488037403e-06,7.215307488037403e-06
AUSTRALIA,6.899214446540904e-06,6.899214446540904e-06
PANAMA,0.0,0.0
SLOVENIA,0.0,0.0
TURKEY,0.0,0.0
SAUDI ARABIA,0.0,0.0
PORTUGAL,0.0,0.0
UNITED ARAB EMIRATES,0.0,0.0
POLAND,0.0,0.0
ESTONIA,0.0,0.0
SLOVAKIA,0.0,0.0
CHAD,0.0,0.0
MALI,0.0,0.0
MOROCCO,0.0,0.0
INDIA,0.0,0.0
BELGIUM,0.0,0.0
IRELAND,0.0,0.0
DENMARK,0.0,0.0
FINLAND,0.0,0.0
SWEDEN,0.0,0.0
HONG KONG,0.0,0.0
NAMIBIA,0.0,0.0
