month,country,import_value,country_share,country_share_ma3,share_volatility_12m,resilience_score,country_share_pct,country_share_ma3_pct,share_volatility_12m_pct
2025-12-01,INDONESIA,469865236,0.0238502138504533,0.0271778003409588,0.0090999149633072,106.1042183588433,2.385021385045331,2.717780034095883,0.9099914963307292
2025-12-01,PHILIPPINES,497246499,0.0252400782796776,0.0317992944854259,0.0122884139064712,78.68318971899592,2.5240078279677656,3.179929448542594,1.228841390647122
2025-12-01,ISRAEL,609055608,0.030915474022466,0.0297670601375016,0.0054592503124508,174.31928254914487,3.0915474022466007,2.976706013750164,0.5459250312450806
2025-12-01,JAPAN,667495303,0.0338818548404443,0.0368652666470562,0.013131577790915,73.01609531577584,3.3881854840444348,3.686526664705627,1.3131577790915046
2025-12-01,MEXICO,670483219,0.0340335205311727,0.0325996651752806,0.0148945393710898,64.42121732203762,3.4033520531172723,3.2599665175280688,1.489453937108983
2025-12-01,CHINA,775977179,0.0393883612666792,0.0415440733574118,0.0156647455431226,60.934167069533785,3.938836126667921,4.154407335741184,1.5664745543122602
2025-12-01,"KOREA, SOUTH",2067034812,0.1049220468452182,0.0884052641643869,0.01682500525598,52.884943881392736,10.492204684521829,8.840526416438694,1.6825005255980043
2025-12-01,MALAYSIA,2175710593,0.1104383958291959,0.1021592998692885,0.0149825018923796,58.97971109290878,11.043839582919595,10.215929986928856,1.4982501892379692
2025-12-01,VIETNAM,2334574086,0.1185022575299156,0.1005068906588194,0.0132406171558989,66.07623411787219,11.85022575299156,10.05068906588194,1.3240617155898995
2025-12-01,TAIWAN,7293347606,0.3702080655500797,0.3995078675972034,0.054428454007425,11.54978526191412,37.020806555007965,39.950786759720344,5.4428454007425096
